Code,Name,Agreement,Auditor,Change,Debt,Delist,GEM,Halt,Insurance,Litigation,Loan,Potential Issue,Report,Resignation,Restriction,Restructure,Resumption,RTO,Share,Transaction,Long-stop,Offshore,Special Dividend,Specific Mandate,Fluctuation,Voting,IPO
00152,Shenzhen International Holdings Ltd.,N,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N
00153,China Saite Group Co. Ltd.,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00154,Beijing Enterprises Environment Group Ltd.,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N
00155,China Solar Energy Holdings Ltd.,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
00156,Lippo China Resources Ltd.,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
00157,Natural Beauty Bio-Technology Ltd.,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00158,Melbourne Enterprises Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00159,Brockman Mining Ltd.,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N
00160,"Hon Kwok Land Investment Co., Ltd.",N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00161,AVIC International Holdings Ltd. - H Shares,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N
00162,Century Ginwa Retail Holdings Ltd.,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N
00163,Emperor International Holdings Ltd.,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00164,China Baoli Technologies Holdings Ltd.,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N
00165,China Everbright Ltd.,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N
00166,New Times Energy Corporation Ltd.,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N
00167,IDT International Ltd.,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N
00168,Tsingtao Brewery Co. Ltd. - H Shares,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
00169,Wanda Hotel Development Co. Ltd.,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
00170,China Assets (Holdings) Ltd.,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
00171,Silver Grant International Industries Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00172,Goldbond Group Holdings Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N
00173,K. Wah International Holdings Ltd.,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00174,Gemini Investments (Holdings) Ltd.,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
00175,Geely Automobile Holdings Ltd.,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00176,United Pacific Industries Ltd.,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N
